namespace	name	module	kind	signature
hotstart	save_hotstart	hotstart	tool	(ctx: Context, session_id: str='default', path: str='') -> HotStartResult
inflows	add_dwf	inflows	tool	(ctx: Context, session_id: str='default', node_id: str | int='', constituent: str='FLOW', avg_value: float=0.0, monthly_pattern: str='', daily_pattern: str='', hourly_pattern: str='', weekend_pattern: str='') -> dict
inflows	add_external	inflows	tool	(ctx: Context, session_id: str='default', node_id: str | int='', constituent: str='FLOW', ts_name: str='', inflow_type: str='FLOW', m_factor: float=1.0, s_factor: float=1.0, baseline: float=0.0, pattern: str='') -> dict
inflows	add_hydrograph	inflows	tool	(ctx: Context, session_id: str='default', uh_name: str='', month: str | int='all', response: str | int='short', r: float=0.0, t: float=0.0, k: float=1.0, dmax: float=0.0, drecov: float=0.0, dinit: float=0.0) -> dict
inflows	add_hydrograph_gage	inflows	tool	(ctx: Context, session_id: str='default', uh_name: str='', gage_name: str='') -> dict
inflows	add_rdii	inflows	tool	(ctx: Context, session_id: str='default', node_id: str | int='', uh_name: str='', area: float=0.0) -> dict
inflows	add_rdii_decay	inflows	tool	(ctx: Context, session_id: str='default', uh_name: str='', response: str | int='short', k_dep: float=0.0, k_0: float=0.0, k_T: float=0.0, T_ref: float=10.0, theta_rec: float=0.0, T_freeze: float=0.0) -> dict
inflows	dwf_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	ext_inflow_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	get_hydrograph	inflows	tool	(ctx: Context, session_id: str='default', entry_index: int=0) -> dict
inflows	get_hydrograph_gage	inflows	tool	(ctx: Context, session_id: str='default', entry_index: int=0) -> dict
inflows	get_rdii	inflows	tool	(ctx: Context, session_id: str='default', entry_index: int=0) -> dict
inflows	get_rdii_decay	inflows	tool	(ctx: Context, session_id: str='default', entry_index: int=0) -> dict
inflows	hydrograph_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	hydrograph_gage_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	hydrograph_group_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	list_hydrograph_groups	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	rdii_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
inflows	rdii_decay_count	inflows	tool	(ctx: Context, session_id: str='default') -> dict
infrastructure	add_inlet	infrastructure	tool	(ctx: Context, session_id: str='default', inlet_id: str='', inlet_type: str='') -> dict
infrastructure	add_lid	infrastructure	tool	(ctx: Context, session_id: str='default', lid_id: str='', lid_type: str='bio_cell') -> dict
infrastructure	add_lid_usage	infrastructure	tool	(ctx: Context, session_id: str='default', subcatch_id: str | int='', lid_index: int=0, number: int=1, area: float=0.0, width: float=0.0, init_sat: float=0.0, from_imperv: float=1.0) -> dict
infrastructure	add_street	infrastructure	tool	(ctx: Context, session_id: str='default', street_id: str='') -> dict
infrastructure	add_transect	infrastructure	tool	(ctx: Context, session_id: str='default', transect_id: str='') -> dict
infrastructure	add_transect_station	infrastructure	tool	(ctx: Context, session_id: str='default', transect_index: int=0, station: float=0.0, elevation: float=0.0) -> dict
infrastructure	inlet_count	infrastructure	tool	(ctx: Context, session_id: str='default') -> dict
infrastructure	lid_count	infrastructure	tool	(ctx: Context, session_id: str='default') -> dict
infrastructure	set_inlet_params	infrastructure	tool	(ctx: Context, session_id: str='default', inlet_index: int=0, length: float=0.0, width: float=0.0, grate_type: str='', open_area: float=0.0, splash_veloc: float=0.0) -> dict
infrastructure	set_lid_drain	infrastructure	tool	(ctx: Context, session_id: str='default', lid_index: int=0, coeff: float=0.0, expon: float=0.0, offset: float=0.0) -> dict
infrastructure	set_lid_soil	infrastructure	tool	(ctx: Context, session_id: str='default', lid_index: int=0, thick: float=0.0, porosity: float=0.0, fc: float=0.0, wp: float=0.0, ksat: float=0.0, kslope: float=0.0) -> dict
infrastructure	set_lid_storage	infrastructure	tool	(ctx: Context, session_id: str='default', lid_index: int=0, thick: float=0.0, void_frac: float=0.0, ksat: float=0.0) -> dict
infrastructure	set_lid_surface	infrastructure	tool	(ctx: Context, session_id: str='default', lid_index: int=0, storage: float=0.0, roughness: float=0.0, slope: float=0.0) -> dict
