function,domain,py
swmm_forcing_climate_evap,forcing,_forcing.Forcing.climate_evap
swmm_forcing_climate_temperature,forcing,_forcing.Forcing.climate_temperature
swmm_forcing_climate_wind,forcing,_forcing.Forcing.climate_wind
swmm_hotstart_set_link_depth,hotstart,_hotstart.HotStart.set_link_depth
swmm_hotstart_set_link_flow,hotstart,_hotstart.HotStart.set_link_flow
swmm_hotstart_set_node_depth,hotstart,_hotstart.HotStart.set_node_depth
swmm_hotstart_set_node_head,hotstart,_hotstart.HotStart.set_node_head
swmm_hotstart_set_subcatch_runoff,hotstart,
swmm_link_get_pump_stats_bulk,links,_links.Links.pump_stats
swmm_userflag_def_count,model,_model.ModelBuilder.userflag_def_count
swmm_userflag_def_get,model,_model.ModelBuilder.get_userflag_def
swmm_userflag_value_clear,model,_model.ModelBuilder.clear_userflag_value
swmm_userflag_value_get,model,_model.ModelBuilder.get_userflag_value
swmm_userflag_value_set,model,_model.ModelBuilder.set_userflag_value
swmm_stat_link_max_filling_bulk,statistics,_statistics.Statistics.link_max_filling
swmm_stat_link_max_velocity_bulk,statistics,_statistics.Statistics.link_max_velocity
swmm_stat_link_surcharge_time_bulk,statistics,_statistics.Statistics.link_surcharge_time
swmm_stat_link_vol_flow_bulk,statistics,_statistics.Statistics.link_vol_flow
swmm_stat_node_max_overflow_bulk,statistics,_statistics.Statistics.node_max_overflow
swmm_stat_node_time_flooded_bulk,statistics,_statistics.Statistics.node_time_flooded
swmm_stat_node_vol_flooded_bulk,statistics,_statistics.Statistics.node_vol_flooded
