domain	qualname	module	kind	signature
model	ModelBuilder.undefine_userflag	_model	method	(self, name: str) -> None
model	ModelBuilder.userflag_def_count	_model	method	(self) -> int
model	ModelBuilder.validate	_model	method	(self) -> None
model	ModelBuilder.write	_model	method	(self, path: str) -> None
model	ModelBuilder.write_with_plugin	_model	method	(self, path: str, output_plugin_id: str='') -> None
nodes	Node.__eq__	_nodes	method	(self, other: object) -> bool
nodes	Node.__hash__	_nodes	method	(self) -> int
nodes	Node.__init__	_nodes	method	(self, solver: Solver, index: int) -> None
nodes	Node.__repr__	_nodes	method	(self) -> str
nodes	Node.depth_from_volume	_nodes	method	(self, volume: float) -> float
nodes	Node.quality	_nodes	method	(self, pollutant: _Key) -> float
nodes	Node.set_head_boundary	_nodes	method	(self, head: float) -> None
nodes	Node.set_quality_mass_flux	_nodes	method	(self, pollutant: _Key, mass_rate: float) -> None
nodes	Nodes.__contains__	_nodes	method	(self, key: object) -> bool
nodes	Nodes.__getitem__	_nodes	method	(self, key: _Key) -> Node
nodes	Nodes.__init__	_nodes	method	(self, solver: Solver) -> None
nodes	Nodes.__iter__	_nodes	method	(self) -> Iterator[Node]
nodes	Nodes.__len__	_nodes	method	(self) -> int
nodes	Nodes.__repr__	_nodes	method	(self) -> str
nodes	Nodes.add	_nodes	method	(self, node_id: str, node_type: NodeType) -> Node
nodes	Nodes.get_id	_nodes	method	(self, idx: int) -> str
nodes	Nodes.get_index	_nodes	method	(self, node_id: str) -> int
nodes	Nodes.pop_last	_nodes	method	(self, node_id: str) -> None
nodes	Nodes.qualities	_nodes	method	(self, pollutant: _Key) -> NDArray[Any]
nodes	Nodes.rename	_nodes	method	(self, key: _Key, new_id: str) -> None
nodes	Nodes.set_lateral_inflows	_nodes	method	(self, values: NDArray[Any]) -> None
nodes	OutfallView.get_tidal_curve	_nodes	method	(self) -> int
nodes	OutfallView.get_timeseries	_nodes	method	(self) -> int
nodes	OutfallView.set_stage	_nodes	method	(self, stage: float) -> None
nodes	OutfallView.set_tidal_curve	_nodes	method	(self, curve_idx: int) -> None
nodes	OutfallView.set_timeseries	_nodes	method	(self, ts_idx: int) -> None
output_reader	OutputReader.__enter__	_output_reader	method	(self) -> 'OutputReader'
output_reader	OutputReader.__exit__	_output_reader	method	(self, *args: Any) -> bool
output_reader	OutputReader.__init__	_output_reader	method	(self, path: _PathLike) -> None
output_reader	OutputReader.__repr__	_output_reader	method	(self) -> str
output_reader	OutputReader.close	_output_reader	method	(self) -> None
output_reader	OutputReader.link_attributes	_output_reader	method	(self, link: _Key, period: int) -> Dict[Union[OutLinkVar, int], float]
output_reader	OutputReader.link_result	_output_reader	method	(self, period: int, var: OutLinkVar) -> NDArray[Any]
output_reader	OutputReader.link_series	_output_reader	method	(self, link: _Key, var: OutLinkVar, *, start: Optional[int]=..., end: Optional[int]=...) -> NDArray[Any]
output_reader	OutputReader.node_attributes	_output_reader	method	(self, node: _Key, period: int) -> Dict[Union[OutNodeVar, int], float]
output_reader	OutputReader.node_result	_output_reader	method	(self, period: int, var: OutNodeVar) -> NDArray[Any]
output_reader	OutputReader.node_series	_output_reader	method	(self, node: _Key, var: OutNodeVar, *, start: Optional[int]=..., end: Optional[int]=...) -> NDArray[Any]
output_reader	OutputReader.node_stats	_output_reader	method	(self, node: _Key) -> _OutputNodeStats
output_reader	OutputReader.subcatchment_attributes	_output_reader	method	(self, sub: _Key, period: int) -> Dict[Union[OutSubcatchVar, int], float]
output_reader	OutputReader.subcatchment_result	_output_reader	method	(self, period: int, var: OutSubcatchVar) -> NDArray[Any]
output_reader	OutputReader.subcatchment_series	_output_reader	method	(self, sub: _Key, var: OutSubcatchVar, *, start: Optional[int]=..., end: Optional[int]=...) -> NDArray[Any]
output_reader	OutputReader.system_result	_output_reader	method	(self, period: int, var: OutSystemVar) -> float
output_reader	OutputReader.system_series	_output_reader	method	(self, var: OutSystemVar, *, start: Optional[int]=..., end: Optional[int]=...) -> NDArray[Any]
pollutants	Pollutant.__eq__	_pollutants	method	(self, other: object) -> bool
pollutants	Pollutant.__hash__	_pollutants	method	(self) -> int
pollutants	Pollutant.__init__	_pollutants	method	(self, solver: Solver, index: int) -> None
pollutants	Pollutant.__repr__	_pollutants	method	(self) -> str
pollutants	Pollutant.set_co_pollutant	_pollutants	method	(self, co: Union['Pollutant', _Key], fraction: float) -> None
pollutants	Pollutants.__contains__	_pollutants	method	(self, key: object) -> bool
pollutants	Pollutants.__getitem__	_pollutants	method	(self, key: _Key) -> Pollutant
pollutants	Pollutants.__init__	_pollutants	method	(self, solver: Solver) -> None
pollutants	Pollutants.__iter__	_pollutants	method	(self) -> Iterator[Pollutant]
pollutants	Pollutants.__len__	_pollutants	method	(self) -> int
pollutants	Pollutants.add	_pollutants	method	(self, pollut_id: str, units: ConcentrationUnits=...) -> Pollutant
pollutants	Pollutants.get_id	_pollutants	method	(self, idx: int) -> str
pollutants	Pollutants.get_index	_pollutants	method	(self, pollut_id: str) -> int
pollutants	Pollutants.set_link_quality	_pollutants	method	(self, link: _Key, pollutant: _Key, conc: float) -> None
pollutants	Pollutants.set_node_quality	_pollutants	method	(self, node: _Key, pollutant: _Key, conc: float) -> None
quality	Landuse.__init__	_quality	method	(self, solver: Solver, index: int) -> None
quality	Landuses.__contains__	_quality	method	(self, key: object) -> bool
quality	Landuses.__getitem__	_quality	method	(self, key: _Key) -> Landuse
quality	Landuses.__init__	_quality	method	(self, solver: Solver) -> None
quality	Landuses.__iter__	_quality	method	(self) -> Iterator[Landuse]
quality	Landuses.__len__	_quality	method	(self) -> int
quality	Landuses.add	_quality	method	(self, landuse_id: str) -> Landuse
quality	Landuses.get_id	_quality	method	(self, idx: int) -> str
quality	Landuses.get_index	_quality	method	(self, landuse_id: str) -> int
quality	Quality.__init__	_quality	method	(self, solver: Solver) -> None
quality	Quality.clear_treatment	_quality	method	(self, node: _Key, pollutant: _Key) -> None
quality	Quality.get_buildup	_quality	method	(self, landuse: _Key, pollutant: _Key) -> Dict[str, object]
quality	Quality.get_treatment	_quality	method	(self, node: _Key, pollutant: _Key) -> str
quality	Quality.get_washoff	_quality	method	(self, landuse: _Key, pollutant: _Key) -> Dict[str, object]
quality	Quality.set_buildup	_quality	method	(self, landuse: _Key, pollutant: _Key, *, func: BuildupFunc, c1: float, c2: float, c3: float, normalizer: int=...) -> None
quality	Quality.set_treatment	_quality	method	(self, node: _Key, pollutant: _Key, expression: str) -> None
quality	Quality.set_washoff	_quality	method	(self, landuse: _Key, pollutant: _Key, *, func: WashoffFunc, coeff: float, expon: float, sweep_effic: float=..., bmp_effic: float=...) -> None
solver	EventsView.__delitem__	_solver	method	(self, idx: Any) -> None
solver	EventsView.__getitem__	_solver	method	(self, idx: Any) -> Any
solver	EventsView.__init__	_solver	method	(self, solver: 'Solver') -> None
solver	EventsView.__len__	_solver	method	(self) -> int
solver	EventsView.__setitem__	_solver	method	(self, idx: Any, value: Any) -> None
solver	EventsView.append	_solver	method	(self, value: Any) -> None
solver	EventsView.clear	_solver	method	(self) -> None
solver	EventsView.insert	_solver	method	(self, idx: int, value: Any) -> None
solver	SimulationOptions.__contains__	_solver	method	(self, key: object) -> bool
solver	SimulationOptions.__delitem__	_solver	method	(self, key: str) -> None
solver	SimulationOptions.__getitem__	_solver	method	(self, key: str) -> str
solver	SimulationOptions.__init__	_solver	method	(self, solver: 'Solver') -> None
solver	SimulationOptions.__iter__	_solver	method	(self) -> Iterator[str]
solver	SimulationOptions.__len__	_solver	method	(self) -> int
solver	SimulationOptions.__setitem__	_solver	method	(self, key: str, value: Any) -> None
solver	SimulationOptions.crs	_solver	property	(self) -> str
solver	SimulationOptions.end_datetime	_solver	property	(self) -> datetime
solver	SimulationOptions.report_start_datetime	_solver	property	(self) -> datetime
solver	SimulationOptions.routing_step	_solver	property	(self) -> timedelta
solver	SimulationOptions.start_datetime	_solver	property	(self) -> datetime
solver	Solver.__enter__	_solver	method	(self) -> 'Solver'
solver	Solver.__exit__	_solver	method	(self, exc_type: Optional[type], exc_val: Optional[BaseException], exc_tb: Optional[object]) -> bool
solver	Solver.__init__	_solver	method	(self, inp: _PathLike='', rpt: Optional[_PathLike]=None, out: Optional[_PathLike]=None, *, plugin_lib: Optional[_PathLike]=None) -> None
solver	Solver.__repr__	_solver	method	(self) -> str
solver	Solver.aquifers	_solver	property	(self) -> 'Aquifers'
solver	Solver.climate	_solver	property	(self) -> 'Climate'
solver	Solver.close	_solver	method	(self) -> None
solver	Solver.close_runoff_interface	_solver	method	(self) -> None
solver	Solver.controls	_solver	property	(self) -> 'Controls'
solver	Solver.create	_solver	method	(self) -> None
solver	Solver.crs	_solver	property	(self) -> str
solver	Solver.current_datetime	_solver	property	(self) -> datetime
solver	Solver.destroy	_solver	method	(self) -> None
solver	Solver.editor	_solver	property	(self) -> 'ModelEditor'
solver	Solver.elapsed	_solver	property	(self) -> timedelta
solver	Solver.end	_solver	method	(self) -> None
solver	Solver.end_datetime	_solver	property	(self) -> datetime
solver	Solver.event_count	_solver	property	(self) -> int
solver	Solver.events	_solver	property	(self) -> EventsView
solver	Solver.flow_units	_solver	property	(self) -> FlowUnits
solver	Solver.forcing	_solver	property	(self) -> 'Forcing'
solver	Solver.gages	_solver	property	(self) -> 'Gages'
solver	Solver.generation	_solver	property	(self) -> int
solver	Solver.handle	_solver	property	(self) -> int
solver	Solver.inflows	_solver	property	(self) -> 'Inflows'
solver	Solver.infrastructure	_solver	property	(self) -> 'Infrastructure'
solver	Solver.initialize	_solver	method	(self) -> None
solver	Solver.is_between_events	_solver	property	(self) -> bool
solver	Solver.links	_solver	property	(self) -> 'Links'
solver	Solver.mass_balance	_solver	property	(self) -> 'MassBalance'
solver	Solver.nodes	_solver	property	(self) -> 'Nodes'
solver	Solver.open	_solver	method	(self, plugin_lib: Optional[_PathLike]=None) -> None
solver	Solver.open_runoff_interface_read	_solver	method	(self, path: _PathLike) -> None
solver	Solver.open_runoff_interface_write	_solver	method	(self, path: _PathLike) -> None
solver	Solver.options	_solver	property	(self) -> SimulationOptions
solver	Solver.patterns	_solver	property	(self) -> 'Patterns'
solver	Solver.pollutants	_solver	property	(self) -> 'Pollutants'
solver	Solver.quality	_solver	property	(self) -> 'Quality'
solver	Solver.read_runoff_step	_solver	method	(self) -> bool
solver	Solver.report	_solver	method	(self) -> None
solver	Solver.report_start_datetime	_solver	property	(self) -> datetime
solver	Solver.routing_step	_solver	property	(self) -> timedelta
solver	Solver.run	_solver	method	(self) -> None
solver	Solver.save_runoff_step	_solver	method	(self, dt: Union[timedelta, float]) -> None
solver	Solver.save_schedule	_solver	property	(self) -> 'SaveSchedule'
solver	Solver.set_progress_callback	_solver	method	(self, callback: Optional[Callable[[float], None]]) -> None
solver	Solver.set_step_begin_callback	_solver	method	(self, callback: Optional[Callable[[float, float], None]]) -> None
solver	Solver.set_step_end_callback	_solver	method	(self, callback: Optional[Callable[[float, float], None]]) -> None
solver	Solver.set_warning_callback	_solver	method	(self, callback: Optional[Callable[[int, str], None]]) -> None
solver	Solver.sim_end_time	_solver	property	(self) -> datetime
solver	Solver.sim_start_time	_solver	property	(self) -> datetime
solver	Solver.snowpacks	_solver	property	(self) -> 'Snowpacks'
solver	Solver.spatial	_solver	property	(self) -> 'Spatial'
solver	Solver.start	_solver	method	(self, save_results: bool=True) -> None
solver	Solver.start_datetime	_solver	property	(self) -> datetime
solver	Solver.state	_solver	property	(self) -> EngineState
solver	Solver.statistics	_solver	property	(self) -> 'Statistics'
solver	Solver.steady_state_skip	_solver	property	(self) -> bool
solver	Solver.step	_solver	method	(self) -> timedelta
solver	Solver.steps	_solver	method	(self) -> Iterator[timedelta]
solver	Solver.stride	_solver	method	(self, n_steps: int) -> timedelta
solver	Solver.subcatchments	_solver	property	(self) -> 'Subcatchments'
solver	Solver.surface2d	_solver	property	(self) -> 'Surface2D'
solver	Solver.tables	_solver	property	(self) -> 'Tables'
solver	Solver.unit_system	_solver	property	(self) -> str
solver	Solver.until	_solver	method	(self, target: Union[datetime, timedelta]) -> timedelta
solver	Solver.userflags	_solver	property	(self) -> UserFlags
solver	Solver.write	_solver	method	(self, path: _PathLike) -> None
solver	Solver.write_geopackage	_solver	method	(self, path: _PathLike, crs: Optional[str]=...) -> None
solver	Solver.write_with_plugin	_solver	method	(self, path: _PathLike, output_plugin_id: str=...) -> None
solver	UserFlags.__contains__	_solver	method	(self, key: object) -> bool
solver	UserFlags.__delitem__	_solver	method	(self, key: str) -> None
solver	UserFlags.__getitem__	_solver	method	(self, key: str) -> Union[bool, int, float, str]
solver	UserFlags.__init__	_solver	method	(self, solver: 'Solver') -> None
solver	UserFlags.__iter__	_solver	method	(self) -> Iterator[str]
solver	UserFlags.__len__	_solver	method	(self) -> int
solver	UserFlags.__setitem__	_solver	method	(self, key: str, value: Union[bool, int, float, str]) -> None
solver	UserFlags.clear_value	_solver	method	(self, obj_type: str, obj_name: str, flag_name: str) -> None
solver	UserFlags.define	_solver	method	(self, name: str, type: int, description: str='') -> None
solver	UserFlags.definitions	_solver	method	(self) -> list[UserFlagDef]
solver	UserFlags.get_value	_solver	method	(self, obj_type: str, obj_name: str, flag_name: str) -> Optional[str]
solver	UserFlags.set_value	_solver	method	(self, obj_type: str, obj_name: str, flag_name: str, value: str) -> None
solver	UserFlags.undefine	_solver	method	(self, name: str) -> None
solver	_OptionsExtView.__delitem__	_solver	method	(self, key: str) -> None
solver	_OptionsExtView.__getitem__	_solver	method	(self, key: str) -> str
solver	_OptionsExtView.__init__	_solver	method	(self, solver: 'Solver') -> None
solver	_OptionsExtView.__iter__	_solver	method	(self) -> Iterator[str]
solver	_OptionsExtView.__len__	_solver	method	(self) -> int
solver	_OptionsExtView.__setitem__	_solver	method	(self, key: str, value: Any) -> None
solver	run	_solver	function	(inp: _PathLike, rpt: Optional[_PathLike]=None, out: Optional[_PathLike]=None, *, plugin_lib: Optional[_PathLike]=None) -> None
solver	run_with_callback	_solver	function	(inp: _PathLike, rpt: Optional[_PathLike]=None, out: Optional[_PathLike]=None, callback: Optional[Callable[[float], None]]=None, *, plugin_lib: Optional[_PathLike]=None) -> None
spatial	Spatial.__init__	_spatial	method	(self, solver: Solver) -> None
spatial	Spatial.crs	_spatial	property	(self) -> str
spatial	Spatial.gage_coord	_spatial	method	(self, gage: _Key) -> Tuple[float, float]
spatial	Spatial.link_coord	_spatial	method	(self, link: _Key) -> Tuple[float, float]
spatial	Spatial.link_vertices	_spatial	method	(self, link: _Key) -> NDArray[Any]
spatial	Spatial.node_coord	_spatial	method	(self, node: _Key) -> Tuple[float, float]
spatial	Spatial.node_coords	_spatial	method	(self) -> NDArray[Any]
spatial	Spatial.set_gage_coord	_spatial	method	(self, gage: _Key, x: float, y: float) -> None
spatial	Spatial.set_link_coord	_spatial	method	(self, link: _Key, x: float, y: float) -> None
spatial	Spatial.set_link_vertices	_spatial	method	(self, link: _Key, vertices: NDArray[Any]) -> None
spatial	Spatial.set_node_coord	_spatial	method	(self, node: _Key, x: float, y: float) -> None
spatial	Spatial.set_node_coords	_spatial	method	(self, coords: NDArray[Any]) -> None
spatial	Spatial.set_subcatchment_coord	_spatial	method	(self, sub: _Key, x: float, y: float) -> None
spatial	Spatial.set_subcatchment_polygon	_spatial	method	(self, sub: _Key, polygon: NDArray[Any]) -> None
spatial	Spatial.subcatchment_coord	_spatial	method	(self, sub: _Key) -> Tuple[float, float]
spatial	Spatial.subcatchment_polygon	_spatial	method	(self, sub: _Key) -> NDArray[Any]
statistics	Statistics.__init__	_statistics	method	(self, solver: Solver) -> None
statistics	Statistics.link_max_filling	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.link_max_filling_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_max_flow	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.link_max_flow_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_max_velocity	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.link_max_velocity_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_surcharge_time	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.link_surcharge_time_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.link_vol_flow	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.link_vol_flow_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_max_depth	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.node_max_depth_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_max_overflow	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.node_max_overflow_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_time_flooded	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.node_time_flooded_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.node_vol_flooded	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.node_vol_flooded_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatchment_max_runoff	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.subcatchment_max_runoff_at	_statistics	method	(self, idx: int) -> float
statistics	Statistics.subcatchment_precip	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.subcatchment_runoff_vol	_statistics	property	(self) -> NDArray[Any]
statistics	Statistics.subcatchment_runoff_vol_at	_statistics	method	(self, idx: int) -> float
subcatchments	Aquifers.get_evap_pattern	_subcatchments	method	(self, aquifer: _Key) -> str
subcatchments	Aquifers.get_param	_subcatchments	method	(self, aquifer: _Key, param: Union[AquiferParam, int]) -> float
subcatchments	Aquifers.set_evap_pattern	_subcatchments	method	(self, aquifer: _Key, name: Optional[str]) -> None
subcatchments	Aquifers.set_param	_subcatchments	method	(self, aquifer: _Key, param: Union[AquiferParam, int], value: float) -> None
subcatchments	CoverageView.__delitem__	_subcatchments	method	(self, key: _Key) -> None
subcatchments	CoverageView.__getitem__	_subcatchments	method	(self, key: _Key) -> float
subcatchments	CoverageView.__init__	_subcatchments	method	(self, sub: 'Subcatchment') -> None
subcatchments	CoverageView.__iter__	_subcatchments	method	(self) -> Iterator[str]
subcatchments	CoverageView.__len__	_subcatchments	method	(self) -> int
subcatchments	CoverageView.__setitem__	_subcatchments	method	(self, key: _Key, value: float) -> None
subcatchments	InfiltrationView.set_curve_number	_subcatchments	method	(self, cn: float) -> None
subcatchments	InfiltrationView.set_green_ampt	_subcatchments	method	(self, suction: float, conductivity: float, initial_deficit: float) -> None
subcatchments	InfiltrationView.set_horton	_subcatchments	method	(self, f0: float, fmin: float, decay: float, dry_time: float) -> None
subcatchments	Snowpacks.get_impervious	_subcatchments	method	(self, snowpack: _Key) -> dict[str, float]
subcatchments	Snowpacks.get_pervious	_subcatchments	method	(self, snowpack: _Key) -> dict[str, float]
subcatchments	Snowpacks.get_plowable	_subcatchments	method	(self, snowpack: _Key) -> dict[str, float]
subcatchments	Snowpacks.get_removal	_subcatchments	method	(self, snowpack: _Key) -> dict[str, float]
subcatchments	Snowpacks.get_removal_subcatch	_subcatchments	method	(self, snowpack: _Key) -> str
subcatchments	Snowpacks.set_impervious	_subcatchments	method	(self, snowpack: _Key, *, cmin: float, cmax: float, tbase: float, fwfrac: float, sd0: float, fw0: float, last: float) -> None
subcatchments	Snowpacks.set_pervious	_subcatchments	method	(self, snowpack: _Key, *, cmin: float, cmax: float, tbase: float, fwfrac: float, sd0: float, fw0: float, last: float) -> None
subcatchments	Snowpacks.set_plowable	_subcatchments	method	(self, snowpack: _Key, *, cmin: float, cmax: float, tbase: float, fwfrac: float, sd0: float, fw0: float, last: float) -> None
subcatchments	Snowpacks.set_removal	_subcatchments	method	(self, snowpack: _Key, *, dsnow: float, fout: float, fimp: float, fperv: float, fimelt: float, fsubcatch: float) -> None
subcatchments	Snowpacks.set_removal_subcatch	_subcatchments	method	(self, snowpack: _Key, name: Optional[str]) -> None
subcatchments	Subcatchment.__eq__	_subcatchments	method	(self, other: object) -> bool
subcatchments	Subcatchment.__hash__	_subcatchments	method	(self) -> int
subcatchments	Subcatchment.__init__	_subcatchments	method	(self, solver: Solver, index: int) -> None
subcatchments	Subcatchment.__repr__	_subcatchments	method	(self) -> str
subcatchments	Subcatchment.get_gw_state	_subcatchments	method	(self) -> tuple[float, float]
subcatchments	Subcatchment.get_snow_state	_subcatchments	method	(self, surface: int) -> tuple[float, float, float, float]
subcatchments	Subcatchment.ponded_quality	_subcatchments	method	(self, pollutant: _Key) -> float
subcatchments	Subcatchment.quality	_subcatchments	method	(self, pollutant: _Key) -> float
subcatchments	Subcatchment.set_gw_params	_subcatchments	method	(self, surf_elev: float, a1: float, b1: float, a2: float, b2: float, a3: float, tw: float, hstar: float) -> None
subcatchments	Subcatchment.set_gw_state	_subcatchments	method	(self, theta: float=..., lower_depth: float=...) -> None
subcatchments	Subcatchment.set_outlet_node	_subcatchments	method	(self, node: Union[Node, _Key]) -> None
subcatchments	Subcatchment.set_outlet_subcatchment	_subcatchments	method	(self, sub: Union['Subcatchment', _Key]) -> None
subcatchments	Subcatchment.set_ponded_quality	_subcatchments	method	(self, pollutant: _Key, mass: float) -> None
subcatchments	Subcatchment.set_snow_state	_subcatchments	method	(self, surface: int, swe: float=..., fw: float=..., ati: float=..., coldc: float=...) -> None
subcatchments	Subcatchments.__contains__	_subcatchments	method	(self, key: object) -> bool
subcatchments	Subcatchments.__getitem__	_subcatchments	method	(self, key: _Key) -> Subcatchment
subcatchments	Subcatchments.__init__	_subcatchments	method	(self, solver: Solver) -> None
subcatchments	Subcatchments.__iter__	_subcatchments	method	(self) -> Iterator[Subcatchment]
subcatchments	Subcatchments.__len__	_subcatchments	method	(self) -> int
subcatchments	Subcatchments.add	_subcatchments	method	(self, sub_id: str) -> Subcatchment
subcatchments	Subcatchments.get_id	_subcatchments	method	(self, idx: int) -> str
subcatchments	Subcatchments.get_index	_subcatchments	method	(self, sub_id: str) -> int
subcatchments	Subcatchments.qualities	_subcatchments	method	(self, pollutant: _Key) -> NDArray[Any]
subcatchments	Subcatchments.rename	_subcatchments	method	(self, key: _Key, new_id: str) -> None
tables	Pattern.__init__	_tables	method	(self, solver: Solver, index: int) -> None
tables	Pattern.set_factors	_tables	method	(self, values: Iterable[float], type: PatternType=...) -> None
tables	Patterns.__contains__	_tables	method	(self, key: object) -> bool
tables	Patterns.__getitem__	_tables	method	(self, key: _Key) -> Pattern
tables	Patterns.__init__	_tables	method	(self, solver: Solver) -> None
tables	Patterns.__iter__	_tables	method	(self) -> Iterator[Pattern]
tables	Patterns.__len__	_tables	method	(self) -> int
tables	Patterns.add	_tables	method	(self, pattern_id: str, type: PatternType=...) -> Pattern
tables	Patterns.get_index	_tables	method	(self, pattern_id: str) -> int
tables	Patterns.remove	_tables	method	(self, key: _Key) -> None
tables	Patterns.rename	_tables	method	(self, key: _Key, new_id: str) -> None
tables	Tables.__contains__	_tables	method	(self, key: object) -> bool
tables	Tables.__getitem__	_tables	method	(self, key: _Key) -> _PointTable
tables	Tables.__init__	_tables	method	(self, solver: Solver) -> None
tables	Tables.__iter__	_tables	method	(self) -> Iterator[_PointTable]
tables	Tables.__len__	_tables	method	(self) -> int
tables	Tables.add_curve	_tables	method	(self, curve_id: str, curve_type: int=...) -> Curve
tables	Tables.add_timeseries	_tables	method	(self, ts_id: str) -> TimeSeries
tables	Tables.as_curve	_tables	method	(self, key: _Key) -> Curve
tables	Tables.as_timeseries	_tables	method	(self, key: _Key) -> TimeSeries
tables	Tables.get_id	_tables	method	(self, idx: int) -> str
tables	Tables.get_index	_tables	method	(self, table_id: str) -> int
tables	Tables.get_type	_tables	method	(self, key: int | str) -> TableType
tables	TimeSeries.add	_tables	method	(self, when: Union[datetime, float], value: float) -> None
tables	_PointTable.__init__	_tables	method	(self, solver: Solver, index: int) -> None
tables	_PointTable.__len__	_tables	method	(self) -> int
tables	_PointTable.add_point	_tables	method	(self, x: float, y: float) -> None
tables	_PointTable.clear	_tables	method	(self) -> None
tables	_PointTable.lookup	_tables	method	(self, x: float) -> float
# 696 Python methods across 26 stubs
